HTML Color Name,Color Group
Aqua,Blue
AquaMarine,Blue
Blue,Blue
CadetBlue,Blue
CornFlowerBlue,Blue
Cyan,Blue
DarkBlue,Blue
DarkTurquoise,Blue
DeepSkyBlue,Blue
DodgerBlue,Blue
LightBlue,Blue
LightCyan,Blue
LightSkyBlue,Blue
LightSteelBlue,Blue
MediumBlue,Blue
MediumSlateBlue,Blue
MediumTurquoise,Blue
MidnightBlue,Blue
Navy,Blue
PaleTurquoise,Blue
PowderBlue,Blue
RoyalBlue,Blue
SkyBlue,Blue
SteelBlue,Blue
Turquoise,Blue
Bisque,Brown
BlanchedAlmond,Brown
Brown,Brown
BurlyWood,Brown
Chocolate,Brown
Cornsilk,Brown
DarkGoldenRod,Brown
GoldenRod,Brown
Maroon,Brown
NavajoWhite,Brown
Peru,Brown
RosyBrown,Brown
SaddleBrown,Brown
SandyBrown,Brown
Sienna,Brown
Tan,Brown
Wheat,Brown
Black,Gray
DarkGray,Gray
DarkSlateGray,Gray
DimGray,Gray
Gainsboro,Gray
Gray,Gray
LightGray,Gray
LightSlateGray,Gray
Silver,Gray
SlateGray,Gray
Chartreuse,Green
DarkCyan,Green
DarkGreen,Green
DarkOliveGreen,Green
DarkSeaGreen,Green
ForestGreen,Green
Green,Green
GreenYellow,Green
LawnGreen,Green
LightGreen,Green
LightSeaGreen,Blue
Lime,Green
LimeGreen,Green
MediumAquaMarine,Green
MediumSeaGreen,Green
MediumSpringGreen,Green
Olive,Green
OliveDrab,Green
PaleGreen,Green
SeaGreen,Green
SpringGreen,Green
Teal,Green
YellowGreen,Green
DeepPink,Pink
HotPink,Pink
LightPink,Pink
MediumVioletRed,Pink
PaleVioletRed,Pink
Pink,Pink
BlueViolet,Purple
DarkMagenta,Purple
DarkOrchid,Purple
DarkSlateBlue,Purple
DarkViolet,Purple
Fuchsia,Purple
Indigo,Purple
Lavender,Purple
Magenta,Purple
MediumOrchid,Purple
MediumPurple,Purple
Orchid,Purple
Plum,Purple
Purple,Purple
SlateBlue,Purple
Thistle,Purple
Violet,Purple
Coral,Red
Crimson,Red
DarkOrange,Red
DarkRed,Red
DarkSalmon,Red
Firebrick,Red
IndianRed,Red
LightCoral,Red
LightSalmon,Red
LightSalmon,Red
Red,Red
Salmon,Red
Tomato,Red
AliceBlue,White
AntiqueWhite,White
Azure,White
Beige,White
FloralWhite,White
GhostWhite,White
HoneyDew,White
Ivory,White
LavenderBlush,White
Linen,White
MintCream,White
MistyRose,White
OldLace,White
SeaShell,White
Snow,White
White,White
WhiteSmoke,White
DarkKhaki,Yellow
Gold,Yellow
Khaki,Yellow
LemonChiffon,Yellow
LightGoldenrodYellow,Yellow
LightYellow,Yellow
Moccasin,Yellow
Orange,Yellow
OrangeRed,Yellow
PaleGoldenRod,Yellow
PapayaWhip,Yellow
PeachPuff,Yellow
Yellow,Yellow
